municipality,province,population,latitude,longitude
Beverwijk,Noord-Holland,40052.0,52.486984,4.657447
Binnenmaas,Zuid-Holland,28682.0,51.796188,4.548157
Bladel,Noord-Brabant,19825.0,51.362963,5.213639
Blaricum,Noord-Holland,9112.0,52.272669,5.24808
Bloemendaal,Noord-Holland,22077.0,52.404947,4.620185
Bodegraven-Reeuwijk,Zuid-Holland,32986.0,52.082326,4.746084
Boekel,Noord-Brabant,10089.0,51.602879,5.674316
Borger-Odoorn,Drenthe,25633.0,52.889372,6.888404
Borne,Overijssel,21901.0,52.300237,6.753726
Borsele,Zeeland,22592.0,51.447691,3.803318
Boxmeer,Noord-Brabant,28135.0,51.645269,5.956666
Boxtel,Noord-Brabant,30325.0,51.601437,5.312177
Breda,Noord-Brabant,179999.0,51.571915,4.768323
Brielle,Zuid-Holland,16306.0,51.902582,4.163685
Bronckhorst,Gelderland,36941.0,52.075595,6.180892
Brummen,Gelderland,21169.0,52.090167,6.158015
Brunssum,Limburg,28914.0,50.948896,5.972166
Bunnik,Utrecht,14619.0,52.066528,5.200776
Bunschoten,Utrecht,20547.0,52.240642,5.36707
Buren,Gelderland,25995.0,51.910389,5.334058
Capelle aan den IJssel,Zuid-Holland,66177.0,51.938073,4.591778
Castricum,Noord-Holland,34244.0,52.545259,4.672735
Coevorden,Drenthe,35771.0,52.661357,6.741062
Cranendonck,Noord-Brabant,20388.0,51.286922,5.596695
Cromstrijen,Zuid-Holland,12748.0,51.736089,4.460849
Cuijk,Noord-Brabant,24780.0,51.728927,5.879209
Culemborg,Gelderland,27579.0,51.956108,5.240045
Dalfsen,Overijssel,27655.0,52.507755,6.259667
Dantumadiel,Friesland,19035.0,53.272981,5.98593
De Bilt,Utrecht,42013.0,52.109272,5.180968
De Fryske Marren,Friesland,51223.0,52.948003,5.791388
De Marne,Groningen,10205.0,53.360934,6.380521
De Ronde Venen,Utrecht,42648.0,52.20668,4.886773
De Wolden,Drenthe,23592.0,52.681979,6.366039
Delft,Zuid-Holland,101493.0,52.011577,4.357068
Delfzijl,Groningen,25686.0,53.331027,6.92446
Den Helder,Noord-Holland,56553.0,52.956281,4.760797
Deurne,Noord-Brabant,31669.0,51.46422,5.795068
Deventer,Overijssel,98327.0,52.266075,6.155217
Diemen,Noord-Holland,25980.0,52.338993,4.959189
