,code,name,country,daily_capacity,geo_lat,geo_lng
137,VB,Voorburg,NL,23312.375,52.066665649414,4.3594446182251
138,YPB,Den Haag Ypenburg,NL,23312.375,52.055278778076,4.39222240448
139,ZTM,Zoetermeer,NL,23312.375,52.047500610352,4.4772224426269
140,ZTMO,Zoetermeer Oost,NL,23312.375,52.046390533447,4.4927778244019
141,LLZM,Lansingerland-Zoetermeer,NL,23312.375,52.042222,4.517222
142,UTVR,Utrecht Vaartsche Rijn,NL,53895.4375,52.078889,5.121667
143,UTLN,Utrecht Lunetten,NL,34614.3125,52.06555557251,5.144166469574
144,HTN,Houten,NL,34614.3125,52.03402,5.16821
145,HTNC,Houten Castellum,NL,36698.9375,52.01701,5.17949
146,CL,Culemborg,NL,32529.6875,51.946666717529,5.2269444465637
147,GDM,Geldermalsen,NL,32529.6875,51.88301,5.27127
148,ZBM,Zaltbommel,NL,16336.375,51.80888748169,5.2633333206177
149,MZ,Maarheeze,NL,20137.75,51.30376236035,5.6303429603577
150,HZE,Heeze,NL,20137.75,51.384998321533,5.5694446563721
151,GP,Geldrop,NL,20137.75,51.419723510742,5.5505557060242
152,OT,Oisterwijk,NL,21438.9375,51.582221984863,5.1941666603088
153,TB,Tilburg,NL,108112.375,51.560554504395,5.0836110115051
154,TBU,Tilburg Universiteit,NL,38222.375,51.564985,5.051778
155,VS,Vlissingen,NL,36946.0,51.445835113525,3.5952777862549
156,VSS,Vlissingen Souburg,NL,35525.0,51.464721679688,3.5952777862549
157,MDB,Middelburg,NL,36946.0,51.494720458984,3.6172223091126
158,ARN,Arnemuiden,NL,35525.0,51.501667022705,3.6691665649414
159,GS,Goes,NL,36946.0,51.498054504395,3.8905556201935
160,BZL,Kapelle-Biezelinge,NL,35525.0,51.480834960938,3.9561111927033
161,KRG,Kruiningen-Yerseke,NL,35525.0,51.465000152588,4.0372223854065
162,KBD,Krabbendijke,NL,35525.0,51.433334350586,4.1169443130493
163,RB,Rilland-Bath,NL,35525.0,51.422779083252,4.1611108779907
164,BGN,Bergen op Zoom,NL,38396.0,51.49388885498,4.2961111068726
165,RSD,Roosendaal,NL,87265.3125,51.540279388428,4.4583334922791
166,ETN,Etten-Leur,NL,36554.5,51.57500076294,4.6358332633972
167,BD,Breda,NL,95739.0,51.595554351807,4.7800002098083
168,VH,Voorhout,NL,16922.25,52.224445343018,4.4844446182251
169,HIL,Hillegom,NL,16922.25,52.302501678467,4.5655555725098
170,WZ,Wezep,NL,15682.375,52.454166412354,6.0025000572205
171,HDE,'t Harde,NL,15682.375,52.4091682,5.893611
172,NS,Nunspeet,NL,15682.375,52.370834350586,5.7852778434753
173,HD,Harderwijk,NL,17072.875,52.337501525879,5.619722366333
174,EML,Ermelo,NL,15682.375,52.301666259766,5.6147222518921
175,PT,Putten,NL,15682.375,52.264999389648,5.5752778053284
176,NKK,Nijkerk,NL,17072.875,52.222221374512,5.4938888549805
177,AVAT,Amersfoort Vathorst,NL,29940.9375,52.192779541016,5.4338889122009
