id,code,uic,name_long,slug,country,type,geo_lat,geo_lng,municipalities,tot_pop
96,BP,8400139,Buitenpost,buitenpost,NL,knooppuntSneltreinstation,53.2564547,6.1446496,"['Achtkarspelen', 'Kollumerland en Nieuwkruisland']",40858.0
299,KTR,8400359,Kesteren,kesteren,NL,stoptreinstation,51.9313869,5.5833465,"['Druten', 'Neder-Betuwe']",40797.0
354,NKK,8400469,Nijkerk,nijkerk,NL,stoptreinstation,52.222221374512,5.4938888549805,['Nijkerk'],40600.0
111,BV,8400113,Beverwijk,beverwijk,NL,intercitystation,52.478332519531,4.6566667556763,['Beverwijk'],40052.0
454,TBG,8400592,Terborg,terborg,NL,stoptreinstation,51.9224549,6.3642466,['Oude IJsselstreek'],39614.0
433,SOG,8400555,Schin op Geul,schin-op-geul,NL,stoptreinstation,50.856388092041,5.8722224235535,"['Eijsden-Margraten', 'Gulpen-Wittem']",39472.0
380,OT,8400482,Oisterwijk,oisterwijk,NL,stoptreinstation,51.582221984863,5.1941666603088,"['Haaren', 'Oisterwijk']",39413.0
209,GP,8400245,Geldrop,geldrop,NL,knooppuntStoptreinstation,51.419723510742,5.5505557060242,['Geldrop-Mierlo'],38854.0
421,SDA,8400551,Scheemda,scheemda,NL,stoptreinstation,53.1655362,6.9777775,['Oldambt'],38558.0
531,ZH,8400743,Zuidhorn,zuidhorn,NL,stoptreinstation,53.2486292,6.4062361,"['Leek', 'Zuidhorn']",38374.0
258,HON,8400328,Holten,holten,NL,stoptreinstation,52.283889770508,6.42027759552,['Rijssen-Holten'],37696.0
312,LG,8400548,Landgraaf,landgraaf,NL,knooppuntStoptreinstation,50.896389007568,6.019166469574,['Landgraaf'],37530.0
377,OP,8400494,Opheusden,opheusden,NL,stoptreinstation,51.9261615,5.6371145,['Wageningen'],37511.0
539,ZVB,8400737,Zevenbergen,zevenbergen,NL,stoptreinstation,51.64042,4.60904,['Moerdijk'],36775.0
394,RAT,8400513,Raalte,raalte,NL,stoptreinstation,52.391666412354,6.2775001525879,['Raalte'],36526.0
431,SM,8400583,Swalmen,swalmen,NL,stoptreinstation,51.23582,6.03228,['Leudal'],36213.0
117,CO,8400153,Coevorden,coevorden,NL,knooppuntSneltreinstation,52.663612365723,6.7355556488037,['Coevorden'],35771.0
544,SSH,8400603,Sassenheim,sassenheim,NL,stoptreinstation,52.215278,4.517222,['Teylingen'],35723.0
362,NVD,8400472,Nijverdal,nijverdal,NL,stoptreinstation,52.366111,6.462,['Hellendoorn'],35697.0
115,CK,8400155,Cuijk,cuijk,NL,stoptreinstation,51.726682587905,5.8742952346802,"['Cuijk', 'Mill en Sint Hubert']",35623.0
207,GO,8400254,Goor,goor,NL,stoptreinstation,52.230278015137,6.5844445228577,['Hof van Twente'],34987.0
146,DTCH,8400184,Doetinchem De Huet,doetinchem-de-huet,NL,stoptreinstation,51.9591413,6.2598521,['Montferland'],34985.0
306,LDL,8400384,Leiden Lammenschans,leiden-lammenschans,NL,stoptreinstation,52.146945953369,4.4924998283386,"['Leiderdorp', 'Zoeterwoude']",34877.0
797,UTVR,8400606,Utrecht Vaartsche Rijn,utrecht-vaartsche-rijn,NL,knooppuntStoptreinstation,52.078889,5.121667,['IJsselstein'],34268.0
113,CAS,8400151,Castricum,castricum,NL,intercitystation,52.545833587646,4.6586112976074,['Castricum'],34244.0
722,HVSM,8400324,Hilversum Media Park,hilversum-media-park,NL,stoptreinstation,52.238056182861,5.1738886833191,"['Laren', 'Wijdemeren']",34016.0
121,DA,8400164,Daarlerveen,daarlerveen,NL,stoptreinstation,52.4407702,6.5759947,['Twenterand'],33939.0
368,OBD,8400480,Obdam,obdam,NL,stoptreinstation,52.67805480957,4.9072222709656,"['Koggenland', 'Opmeer']",33847.0
82,BL,8400100,Beilen,beilen,NL,stoptreinstation,52.854721069336,6.5211110115051,['Midden-Drenthe'],33368.0
304,LC,8400399,Lochem,lochem,NL,stoptreinstation,52.166667938232,6.4263887405395,['Lochem'],33268.0
538,ZV,8400735,Zevenaar,zevenaar,NL,knooppuntStoptreinstation,51.923053741455,6.0719442367554,['Zevenaar'],32254.0
548,SDTB,8400497,Sliedrecht Baanhoek,sliedrecht-baanhoek,NL,stoptreinstation,51.829722,4.743333,['Papendrecht'],32140.0
228,HDG,8400292,Hurdegaryp,hurdegaryp,NL,stoptreinstation,53.2187783,5.934543,['Tytsjerksteradiel'],31980.0
307,LDM,8400386,Leerdam,leerdam,NL,stoptreinstation,51.894721984863,5.0913887023926,"['Leerdam', 'Lingewaal']",31645.0
505,WF,8400704,Wolfheze,wolfheze,NL,stoptreinstation,52.005554199219,5.7936110496521,['Renkum'],31577.0
109,BTL,8400129,Boxtel,boxtel,NL,knooppuntStoptreinstation,51.58433,5.31912,['Boxtel'],30325.0
316,LTV,8400395,Lichtenvoorde-Groenlo,lichtenvoorde-groenlo,NL,stoptreinstation,52.01188,6.59641,['Oost Gelre'],29648.0
37,ARN,8400069,Arnemuiden,arnemuiden,NL,stoptreinstation,51.501667022705,3.6691665649414,"['Noord-Beveland', 'Veere']",29390.0
685,HBZM,8400438,Hardinxveld Blauwe Zoom,hardinxveld-blauwe-zoom,NL,stoptreinstation,51.82944,4.81556,['Molenwaard'],29043.0
687,HVL,8400490,Hoevelaken,hoevelaken,NL,stoptreinstation,52.16652,5.45718,['Leusden'],28967.0
224,HB,8400326,Hoensbroek,hoensbroek,NL,stoptreinstation,50.905555725098,5.9305553436279,['Brunssum'],28914.0
522,WW,8400698,Winterswijk,winterswijk,NL,knooppuntStoptreinstation,51.9677307,6.7155181,['Winterswijk'],28873.0
13,AKL,8400068,Arkel,arkel,NL,stoptreinstation,51.87194442749,4.9927778244019,"['Lopik', 'Zederik']",27661.0
129,DL,8400167,Dalfsen,dalfsen,NL,sneltreinstation,52.498332977295,6.25861120224,['Dalfsen'],27655.0
51,ATN,8400045,Aalten,aalten,NL,stoptreinstation,51.921326524551,6.5786272287369,['Aalten'],27030.0
360,NS,8400466,Nunspeet,nunspeet,NL,stoptreinstation,52.370834350586,5.7852778434753,['Nunspeet'],26707.0
533,ZLW,8400382,Lage Zwaluwe,lage-zwaluwe,NL,knooppuntStoptreinstation,51.69111251831,4.6630554199219,['Drimmelen'],26705.0
546,BHDV,8400236,Boven-Hardinxveld,boven-hardinxveld,NL,stoptreinstation,51.832222,4.878056,['Werkendam'],26400.0
219,HAD,8400302,Heemstede-Aerdenhout,heemstede-aerdenhout,NL,intercitystation,52.35916519165,4.6066665649414,['Heemstede'],26320.0
172,EML,8400216,Ermelo,ermelo,NL,stoptreinstation,52.301666259766,5.6147222518921,['Ermelo'],26080.0
135,DMN,8400165,Diemen,diemen,NL,stoptreinstation,52.34515,4.967566,['Diemen'],25980.0
364,NVP,8400460,Nieuw Vennep,nieuw-vennep,NL,stoptreinstation,52.258888244629,4.6455554962158,['Kaag en Braassem'],25758.0
158,DZ,8400171,Delfzijl,delfzijl,NL,stoptreinstation,53.3336625,6.9240797,['Delfzijl'],25686.0
173,EMN,8400208,Emmen,emmen,NL,sneltreinstation,52.790000915527,6.8994445800781,['Borger-Odoorn'],25633.0
156,DVN,8400193,Duiven,duiven,NL,stoptreinstation,51.943332672119,6.0147223472595,['Duiven'],25580.0
521,WV,8400705,Wolvega,wolvega,NL,stoptreinstation,52.880832672119,6.0036110877991,['Weststellingwerf'],25487.0
356,NMD,8400475,Nijmegen Dukenburg,nijmegen-dukenburg,NL,stoptreinstation,51.824165344238,5.7955555915833,['Beuningen'],25254.0
423,SDT,8400565,Sliedrecht,sliedrecht,NL,stoptreinstation,51.829723358154,4.7783331871033,['Sliedrecht'],24528.0
785,ESK,8400221,Enschede Kennispark,enschede-kennispark,NL,stoptreinstation,52.23749923706,6.8388891220093,['Haaksbergen'],24357.0
783,DWE,8400745,De Westereen,de-westereen,NL,stoptreinstation,53.24817,6.03463,['Dongeradeel'],24183.0
335,MMLH,8400446,Mook Molenhoek,mook-molenhoek,NL,stoptreinstation,51.766262,5.879133,"['Heumen', 'Mook en Middelaar']",24125.0
391,PT,8400509,Putten,putten,NL,stoptreinstation,52.264999389648,5.5752778053284,['Putten'],24044.0
504,WDN,8400691,Wierden,wierden,NL,knooppuntStoptreinstation,52.361389160156,6.5916666984558,['Wierden'],23906.0
460,TWL,8400599,Twello,twello,NL,stoptreinstation,52.237777709961,6.0986108779907,['Voorst'],23801.0
456,TBU,8400594,Tilburg Universiteit,tilburg-universiteit,NL,stoptreinstation,51.564985,5.051778,['Loon op Zand'],23104.0
